Annee;Reglements de compte entre malfaiteurs;Homicides pour voler et a loccasion de vols;Homicides pour dautres motifs;Tentatives dhomicides pour voler et a loccasion de vols;Tentatives homicides pour dautres motifs;Coups et blessures volontaires suivis de mort;Autres coups et blessures volontaires criminels ou correctionnels;Prises dotages a loccasion de vols;Prises dotages dans un autre but;Sequestrations;Menaces ou chantages pour extorsion de fonds;Menaces ou chantages dans un autre but;Atteintes a la dignite et a la personnalite;Violations de domicile;Vols a main armee contre des etablissements financiers;Vols a main armee contre des etablissements industriels ou commerciaux;Vols a main armee contre des entreprises de transports de fonds;Vols a main armee contre des particuliers a leur domicile;Autres vols a main armee;Vols avec armes blanches contre des etablissements financiers,commerciaux ou industriels;Vols avec armes blanches contre des particuliers a leur domicile;Autres vols avec armes blanches;Vols violents sans arme contre des etablissements financiers,commerciaux ou industriels;Vols violents sans arme contre des particuliers a leur domicile;Vols violents sans arme contre des femmes sur voie publique ou autre lieu public;Vols violents sans arme contre dautres victimes;Cambriolages de locaux dhabitations principales;Cambriolages de residences secondaires;Cambriolages de locaux industriels, commerciaux ou financiers;Cambriolages dautres lieux;Vols avec entree par ruse en tous lieux;Vols a la tire;Vols a letalage;Vols de vehicules de transport avec fret;Vols dautomobiles;Vols de vehicules motorises a 2 roues;Vols a la roulotte;Vols daccessoires sur vehicules a moteur immatricules;Vols simples sur chantier;Vols simples sur exploitations agricoles;Autres vols simples contre des etablissements publics ou prives;Autres vols simples contre des particuliers dans deslocaux prives;Autres vols simples contre des particuliers dans des locaux ou lieux publics;Recels;Proxenetisme;Viols sur des majeur(e)s;Viols sur des mineur(e)s;Harcelements sexuels et autres agressions sexuelles majeurs;Harcelements sexuels et autres agressions sexuelles mineurs;Atteintes sexuelles;Homicides commis contre enfants de moins de 15 ans;Violences, mauvais traitements et abandons denfants;Delits au sujet de la garde des mineurs;Non versement de pension alimentaire;Trafic et revente sans usage de stupefiants;Usage-revente de stupefiants;Usage de stupefiants;Autres infractions a la legislation sur les stupefiants;Delits de debits de boissons et infraction a la reglementation sur lalcool et le tabac;Fraudes alimentaires et infractions a lhygiene;Autres delits contre sante publique et la reglementation des professions medicales;Incendies volontaires de biens publics;Incendies volontaires de biens prives;Attentats a lexplosif contre des biens publics;Attentats a lexplosif contre des biens prives;Autres destructions er degradations de biens publics;Autres destructions er degradations de biens prives;Destructions et degradations de vehicules prives;Infractions aux conditions generales dentree et de sejour des etrangers;Aide a lentree, a la circulation et au sejour des etrangers;Autres infractions a la police des etrangers;Outrages a depositaires autorite;Violences a depositaires autorite;Port ou detention armes prohibees;Atteintes aux interets fondamentaux de la Nation;Delits des courses et des jeux;Delits interdiction de sejour et de paraitre;Destructions, cruautes et autres delits envers les animaux;Atteintes a lenvironnement;Chasse et peche;Faux documents didentite;Faux documents concernant la circulation des vehicules;Autres faux documents administratifs;Faux en ecriture publique et authentique;Autres faux en ecriture;Fausse monnaie;Contrefacons et fraudes industrielles et commerciales;Contrefacons litteraires et artistique;Falsification et usages de cheques voles;Falsification et usages de cartes de credit;Escroqueries et abus de confiance;Infractions a la legislation sur les cheques;Travail clandestin;Emploi detranger sans titre de travail;Marchandage - pret de main doeuvre;Index non utilise;Index non utilise;Banqueroutes, abus de biens sociaux et autres delits de societe;Index non utilise;Index non utilise;Prix illicittes, publicite fausse et infractions aux regles de la concurrence;Achats et ventes sans factures;Infractions a lexercice dune profession reglementee;Infractions au droit de lurbanisme et de la construction;Fraudes fiscales;Autres delits economiques et financiers;Autres delits
_2016_04;8;4;49;5;148;9;18869;2;4;330;1179;8453;4137;983;7;132;2;53;140;64;57;474;104;191;3483;3966;17161;1802;6343;5842;733;11789;5406;23;9135;4852;22734;9232;1099;790;5935;17009;28810;3519;28;578;674;686;1127;1046;3;3475;2624;1150;768;2138;15970;338;149;25;37;409;2163;1;6;3137;9619;7354;653;416;256;2239;2852;3001;157;19;65;304;217;167;526;354;497;89;584;226;96;25;5791;4911;17422;270;1030;250;16;0;0;134;0;0;75;15;162;398;74;659;10468
_2016_03;10;3;65;15;185;13;19566;4;7;400;1192;8755;4640;969;14;151;0;51;167;48;53;448;85;161;3613;3945;18384;1888;6372;5807;694;11175;6011;22;9431;4328;22081;9282;1186;715;6098;16485;29382;4154;47;683;751;770;1306;1139;4;4170;2634;1312;953;2253;18293;350;117;24;51;365;2254;0;10;2856;9460;7335;668;488;258;2278;2800;3320;166;18;75;312;237;187;598;395;487;88;682;230;136;32;6514;4979;19281;440;1214;314;6;0;0;160;0;0;89;19;225;479;59;698;11086
_2016_02;10;2;78;1;176;11;17675;9;5;332;1195;8002;4092;896;16;151;1;57;150;65;68;445;89;174;3453;3737;19342;1789;6133;5314;725;10662;5449;28;9414;4075;21145;8916;1091;543;5380;15466;27455;3313;42;561;630;771;1142;1118;6;3445;2661;1201;851;1940;15584;275;152;18;34;365;2089;9;6;2724;8788;6886;674;427;236;1974;2451;3039;170;17;55;252;192;110;567;373;463;79;595;238;132;21;6383;5005;17492;326;1192;312;10;0;0;137;0;0;98;24;154;409;59;678;10040
_2016_01;11;9;58;13;159;12;19014;6;5;355;1211;8616;4120;954;13;168;1;61;151;73;50;458;100;156;3661;4135;20602;1681;6210;5210;680;10618;5438;30;9739;4134;22154;8626;937;600;5573;15911;28028;3725;32;606;692;752;1137;1108;3;3717;2707;1296;847;2025;17042;333;141;25;33;411;2617;1;12;2645;8857;7321;614;365;239;2097;2675;3179;143;11;52;269;190;118;572;360;469;69;635;234;226;19;5918;4726;17052;365;957;249;17;0;0;157;0;0;98;20;140;379;45;778;10298
_2015_12;3;4;72;6;192;18;19628;8;0;342;1302;8814;4329;952;21;200;5;89;181;70;49;436;108;148;3842;4341;24840;1729;6538;5827;686;11738;6148;34;10053;4879;24555;9660;1041;736;5942;16803;29152;3622;23;574;688;744;1159;1019;7;3714;2746;1125;745;1828;14520;304;130;35;33;380;2741;4;8;2733;9232;7845;517;315;207;2210;2753;3252;135;10;79;263;184;89;495;298;417;73;562;213;211;12;6090;5009;17795;312;1066;191;13;0;0;144;0;0;85;15;129;375;57;747;10326
_2015_11;6;3;187;4;177;17;19123;3;1;378;1208;9337;4095;1056;20;185;5;83;164;54;51;469;104;161;3564;4163;20428;1633;6424;5558;752;9927;5505;30;9513;4804;23334;9207;1161;736;5898;16110;27891;4020;41;597;705;872;1243;1105;7;3710;2431;1197;700;1949;16201;398;117;22;48;393;2193;1;10;2877;8801;7158;691;366;203;2282;2769;3248;157;8;64;272;176;143;526;342;407;90;643;261;128;20;5834;4722;16809;317;998;227;10;0;0;134;0;0;67;13;147;342;67;681;10643
_2015_10;9;2;66;9;175;15;20357;2;2;386;1200;9072;4242;1132;14;184;2;65;220;52;45;506;109;188;3900;4530;19122;1681;6840;5977;814;11587;6153;25;10587;5505;26099;10352;1359;839;6646;18002;32197;3946;33;617;691;781;1133;1128;6;3657;2916;1377;737;1807;16650;392;129;30;37;476;2648;3;6;3190;9368;8179;1256;369;209;2271;2917;3155;78;11;53;349;193;224;672;350;452;76;698;259;110;19;6813;5133;18425;617;1145;296;24;0;0;144;0;0;83;23;157;403;53;941;10739
_2015_09;5;1;53;7;197;11;19859;3;4;384;1132;8950;4163;1113;11;165;1;62;192;34;40;457;103;165;3774;4581;17377;1488;6246;5370;811;11250;5264;20;9851;5220;23533;9614;1252;881;6590;17917;31400;3623;38;581;590;721;1076;1087;7;3475;2870;1341;676;1754;16014;393;155;43;36;378;2283;0;10;2825;8771;7752;1116;402;212;2110;2698;3115;81;12;66;318;212;140;633;294;405;90;592;218;72;12;5725;4685;17911;428;1026;316;5;0;0;138;0;0;76;19;154;294;52;767;10484
_2015_08;5;1;46;5;174;8;18087;4;3;332;931;8077;3360;1096;15;163;1;80;167;59;49;453;85;185;3687;4292;20012;1712;6320;5649;755;11392;4654;16;8649;5288;23353;8715;882;971;5941;19467;32928;2967;25;548;463;720;824;1083;2;2151;2550;971;494;1224;13285;552;92;12;23;497;2575;3;12;3174;8971;6814;932;281;193;2216;2635;2549;83;13;47;341;195;120;465;287;289;67;503;230;56;46;4625;4333;15998;302;768;217;9;0;0;86;0;0;47;20;109;240;32;880;9247
_2015_07;2;1;52;5;143;10;20080;4;3;373;1006;9047;4013;1256;9;185;2;86;177;49;48;403;88;184;4165;4531;18181;1706;6170;6512;729;12879;4834;22;9783;6729;24057;9355;1316;988;6931;20951;36384;3469;26;551;597;763;1040;1202;5;2468;1981;1024;620;1612;14073;525;128;14;42;750;3620;4;9;3745;10150;7709;905;272;214;2401;3126;2579;79;18;50;365;274;137;465;309;394;77;564;301;104;15;5527;4510;17506;406;899;235;11;0;0;124;0;0;54;21;231;311;38;966;10589
_2015_06;8;1;53;6;175;9;20644;2;1;340;1115;9236;4623;1141;10;187;2;89;162;45;47;433;97;164;4143;4628;16547;1689;5205;7297;667;11870;5102;17;8703;5697;23316;9709;1426;1025;6720;19662;35046;3855;33;516;661;798;1203;1385;5;3675;2499;1200;660;1905;15664;401;142;18;27;466;2505;2;9;3667;9913;8156;981;385;193;2528;3057;2732;90;22;58;380;243;129;476;301;399;83;658;262;135;15;6700;4588;17569;442;1110;311;19;0;0;139;0;0;85;27;227;367;44;900;10819
_2015_05;8;3;41;6;153;10;18434;1;2;410;1125;7707;3569;1020;12;176;7;101;203;62;45;437;71;155;3852;4317;17226;1776;5210;7774;711;11358;4752;15;9746;5533;24261;10366;1258;1035;5936;17948;30410;3233;17;499;572;674;1055;1130;14;2970;2414;1122;593;1743;14454;401;126;25;37;463;2525;5;12;3128;9307;8067;1073;361;194;2187;2701;2681;76;23;43;337;180;135;488;320;393;73;501;258;112;14;5129;4666;15113;407;924;262;9;0;0;105;0;0;51;21;185;312;30;929;9706
_2015_04;4;3;56;7;177;9;18752;2;4;302;1115;8259;4094;966;13;209;2;75;176;52;52;416;93;174;3819;4290;16413;1718;5167;7296;687;11124;5101;21;9575;5159;22342;10117;1326;942;6334;17570;29363;3766;26;504;703;730;1147;1257;8;3395;2328;1207;735;1836;16455;417;121;29;33;507;2525;7;15;3229;9760;7962;1047;360;232;2339;2761;3037;78;17;43;319;221;138;566;346;433;79;647;296;137;19;5808;4664;16378;337;1100;288;26;0;0;115;0;0;58;30;191;342;41;803;10471
_2015_03;2;2;70;19;180;7;19341;2;3;303;1178;8906;4379;870;12;227;2;71;175;66;62;446;99;171;3847;4013;17559;1632;5426;6759;788;10625;6225;34;10003;4662;22602;10924;1391;845;6562;16802;30878;4155;39;507;637;667;1140;1108;11;3726;2629;1444;815;1987;17627;454;141;19;44;404;2285;6;5;3099;9689;8312;1780;595;329;2300;2644;3407;124;19;50;327;185;174;774;408;477;183;738;264;98;34;6614;5037;17575;518;1213;380;16;0;0;175;0;0;80;50;133;318;85;946;10742
_2015_02;2;1;39;3;153;14;16245;2;2;293;1008;7872;3525;784;16;172;2;70;131;73;42;407;87;153;3517;3420;15920;1361;4827;5666;766;9128;5599;28;8738;3619;20092;9257;1147;680;5542;13870;26566;3346;26;512;539;594;1002;878;4;2847;2411;1207;664;1515;14457;314;119;22;41;304;1914;0;3;2570;8537;6950;1298;396;248;1944;2262;2798;82;9;39;263;158;101;575;303;373;95;587;255;120;16;4749;4571;15286;450;906;249;29;0;0;124;0;0;50;24;100;327;63;648;9621
_2015_01;2;1;63;22;157;12;16601;3;5;250;1111;8663;3646;873;11;259;1;58;141;48;53;475;79;129;3829;3863;20518;1411;4825;5961;663;9292;5392;27;9305;4045;21031;8782;930;663;5728;15003;27373;3306;24;459;570;615;969;896;7;2884;2206;1197;587;1452;13916;357;123;25;50;363;2921;3;7;2743;9053;7631;1417;451;275;2148;2569;3180;117;14;47;254;153;101;565;291;361;113;610;232;116;48;5540;4621;15175;388;827;224;14;0;0;103;0;0;65;27;100;277;74;695;10243
_2014_12;4;5;50;6;141;10;17643;4;3;284;1083;7671;3563;876;18;278;3;91;196;80;65;488;85;200;4283;4240;24046;1584;5340;6661;688;11010;6773;44;9379;4591;23430;9494;1135;793;6629;16647;31507;4206;27;500;633;622;1233;931;12;3059;2915;1248;645;1929;15143;514;177;30;53;364;2179;3;6;2796;9162;8081;1622;370;296;2078;2459;2932;62;33;37;220;167;89;576;311;384;99;873;255;76;15;6787;5163;17431;447;981;225;14;0;0;166;0;0;86;42;126;344;99;978;9652
_2014_11;5;0;42;3;139;6;17030;4;6;279;1043;7571;3514;891;7;250;3;91;170;78;49;527;101;132;4016;4318;20736;1366;5281;6155;682;9971;5738;38;9304;4996;23319;10479;1304;853;6261;16006;29631;3387;27;468;597;671;970;1005;5;2855;2312;1314;558;1742;15079;506;95;38;37;385;2294;4;9;3017;9064;8144;1559;366;278;1958;2383;2760;72;25;51;269;230;138;497;315;382;117;821;247;100;28;5838;4560;15287;437;884;216;23;0;0;122;0;0;70;35;105;302;55;811;9108
_2014_10;6;1;51;16;125;16;18683;2;1;293;1072;8494;3868;977;8;205;3;72;181;73;56;527;94;179;4422;4653;17541;1362;5251;6267;813;10900;6207;43;9699;5795;24257;10372;1511;932;7068;17962;33900;4216;35;578;622;696;1053;1209;3;3068;2808;1409;658;1771;17595;576;129;54;27;387;2410;0;4;3310;9852;8908;1801;448;301;2314;2749;3154;76;22;51;321;197;129;577;322;372;119;944;251;109;16;7111;4452;16977;537;1027;259;22;0;0;152;0;0;78;19;141;400;68;841;10188
_2014_09;4;2;61;6;136;6;18232;1;1;254;1006;8141;3456;935;8;191;2;59;170;45;45;538;77;149;4303;4744;16521;1233;5191;5875;693;11009;5342;27;9108;5539;22317;9637;1363;1001;6573;18073;32795;3291;35;494;455;697;994;1190;6;2852;2666;1335;577;1440;15082;597;116;29;28;436;2310;2;6;3049;9269;8622;2019;456;251;2157;2540;2788;93;34;42;312;193;144;496;286;384;106;915;180;74;22;5341;4105;15823;613;881;204;17;0;0;130;0;0;50;20;94;294;46;764;9670
_2014_08;3;2;53;6;159;20;15487;3;1;220;755;6885;2646;866;9;164;1;47;143;54;43;402;69;133;3858;3697;18568;1483;4972;5983;712;10768;4962;38;8294;5144;22512;9158;1043;1002;6290;18767;33073;2936;21;444;473;589;826;970;3;1787;2350;1021;479;1074;12932;537;80;23;22;387;2192;1;1;3049;8568;7559;1487;352;268;2021;2228;2360;68;28;35;298;260;126;407;269;290;91;649;184;78;9;5191;3662;14636;514;761;167;8;0;0;131;0;0;63;23;83;226;58;970;7940
_2014_07;10;4;52;6;153;12;18622;1;1;240;864;7961;3509;994;17;188;1;62;185;51;47;385;105;140;4152;3857;17050;1797;5546;6769;776;11975;4947;35;9235;6399;23689;10258;1448;1094;7428;19648;35843;3551;29;518;551;659;908;1138;5;2250;2380;1238;533;1348;13364;633;107;25;35;509;3206;2;4;3764;10046;8484;1683;398;218;2289;2776;2352;89;34;35;327;273;109;460;291;378;116;894;191;79;23;5765;4083;16251;376;910;239;26;0;0;146;0;0;64;30;88;253;70;920;9235
_2014_06;9;0;63;12;149;9;18171;5;2;296;995;7751;3578;975;16;178;2;59;148;55;46;500;82;138;4582;4465;16751;1579;5373;6542;721;11504;5034;32;9434;6044;23757;10288;1460;1115;6892;19045;36040;3666;42;501;624;639;1011;1187;6;2864;2374;1232;580;1657;14033;454;107;23;40;534;2851;3;4;3549;10086;9051;1590;381;243;2245;2781;2365;65;33;38;339;220;97;537;295;347;122;854;140;222;10;5016;4132;14757;548;896;226;18;0;0;163;0;0;48;31;120;285;87;889;9219
_2014_05;3;2;48;8;126;10;17264;4;2;240;979;7440;3452;853;6;202;3;66;140;54;67;536;83;139;4310;4324;16980;1605;5371;6855;673;10967;5807;30;9692;5463;23713;11297;1383;1157;6476;17949;32111;3628;36;458;563;648;998;1141;1;2747;2356;1277;592;1517;14914;560;69;27;38;426;2328;4;4;3610;9799;9776;1807;426;273;2181;2509;2639;91;29;21;319;216;127;510;310;311;121;787;139;87;11;5005;4072;14780;509;970;280;18;0;0;139;0;0;60;21;100;245;73;888;9191
_2014_04;10;3;46;3;105;18;18131;5;2;235;912;7586;3697;848;11;181;3;41;138;51;51;557;76;157;4428;4468;16966;1648;5517;6594;766;10428;5812;25;9417;5441;22166;11146;1484;1085;6812;17055;31887;3589;47;454;661;637;1015;1122;5;2936;2748;1377;618;1843;16522;652;82;36;47;485;2433;2;4;3430;10077;9726;1716;435;345;2280;2631;2844;99;12;45;303;265;187;540;324;434;137;801;140;93;20;5019;3994;15492;435;1145;263;28;0;0;165;0;0;65;27;133;328;68;991;9455
_2014_03;4;1;45;8;111;17;17716;2;2;203;929;7457;3918;755;11;225;2;68;138;89;51;600;88;155;4671;4310;18542;1520;5755;6053;770;10660;5826;38;9708;5148;21465;11695;1433;946;6497;15955;32068;3554;56;483;588;550;995;1051;2;2610;2574;1385;602;1395;15629;672;67;28;35;376;2424;4;1;3320;9958;10248;1667;498;341;2347;2568;3073;88;13;25;283;239;154;586;334;412;164;835;122;94;24;5201;4046;15191;625;1038;292;24;0;0;156;0;0;65;37;101;269;64;1127;9548
_2014_02;3;3;45;1;116;10;16944;4;5;202;905;7166;3229;713;13;261;5;59;161;85;51;626;79;127;4347;4112;17668;1350;5531;5277;735;9297;6081;23;8817;3978;19866;10776;1301;767;6366;14458;28349;3522;92;469;642;532;1055;1032;8;2487;2441;1328;680;1618;15725;634;95;41;39;309;2079;3;7;2961;9581;10228;1518;501;358;2162;2405;2974;92;11;23;235;197;141;571;355;412;148;750;144;93;21;5281;3652;15117;524;1023;264;20;0;0;139;0;0;62;33;118;251;69;964;9217
_2014_01;9;3;59;9;124;19;17715;3;4;199;969;7633;3023;702;25;306;0;65;164;105;59;742;67;146;4981;4674;22921;1455;5779;5544;793;10281;6550;27;9514;4418;21616;10823;1201;730;6379;15491;29793;3391;29;450;602;565;933;1056;4;2428;2395;1440;652;1423;14991;635;77;37;20;391;3331;2;4;3050;10617;11736;1645;461;306;2312;2634;3019;96;6;25;184;191;160;556;334;398;167;683;140;118;16;5192;3816;15584;529;925;221;15;0;0;120;0;0;57;20;120;300;57;1097;9327
_2013_12;2;5;53;14;114;16;17752;3;4;232;946;7461;2981;730;15;351;2;68;189;112;74;719;96;159;5136;4735;25909;1554;5729;5411;816;10787;6751;41;9706;4695;22108;10157;1193;823;6427;15467;30911;3587;43;440;587;484;962;979;4;2416;2758;1239;618;1885;14300;654;65;32;37;397;2471;7;7;2675;10057;11392;1421;387;337;2064;2412;2779;87;20;21;209;174;149;529;286;325;146;653;185;120;15;5317;3863;16691;588;1007;267;30;0;0;152;0;0;67;35;109;325;86;1148;9015
_2013_11;7;0;44;4;116;12;17118;1;2;195;871;7279;2843;739;11;306;3;70;164;86;51;708;100;155;4647;4564;23920;1436;5954;5369;777;9528;6127;24;9757;4954;22919;10977;1381;876;6547;15297;28988;3322;51;453;546;554;911;1039;11;2181;2220;1255;561;1477;13838;661;95;46;45;385;2350;2;3;3074;9800;11646;1424;433;345;2113;2401;2793;89;12;21;218;209;159;522;299;399;156;649;145;91;17;5221;3757;16241;547;1031;295;48;0;0;146;0;0;59;23;131;287;62;774;8686
_2013_10;3;5;58;15;135;7;18839;4;3;181;873;8215;3084;828;14;232;1;63;143;79;62;679;61;140;5026;5002;19170;1411;5793;5427;795;9378;6535;21;9864;5931;24300;11774;1566;1055;7291;16918;32593;3815;51;483;572;641;1002;1206;5;2325;2794;1531;647;1539;16242;784;87;74;30;389;2437;3;6;3046;10214;12565;1836;450;389;2542;2718;3084;119;22;21;241;277;177;595;345;440;182;758;157;105;28;5579;3878;17617;776;1167;319;31;0;0;153;0;0;64;30;113;341;56;981;9759
_2013_09;6;0;54;9;113;11;17317;5;0;189;795;7224;2639;772;12;212;3;61;117;56;51;619;45;134;4736;4736;17787;1187;5356;5035;703;9165;5567;15;9355;5516;21669;10392;1381;991;6373;16925;31975;3396;35;447;521;508;851;1065;4;1990;2816;1437;513;1276;14095;709;94;51;27;393;2482;1;7;2827;9178;11255;1864;418;295;2222;2373;2710;84;15;15;242;231;180;509;300;403;139;633;158;91;13;4463;3343;15532;525;981;265;34;0;0;123;0;0;52;14;78;272;50;942;8732
_2013_08;5;4;47;8;117;3;16861;0;3;139;692;7109;2363;771;17;234;0;50;128;67;48;481;83;110;4405;4262;19311;1467;5301;5402;690;9424;5251;23;8520;5992;22181;10383;1093;1031;6419;19155;34638;2998;21;427;495;529;800;1099;3;1575;2440;1230;432;929;13449;691;90;58;21;396;2461;2;5;3182;9127;10309;1729;354;363;2169;2432;2599;84;29;26;233;312;150;478;335;302;142;554;158;101;8;4273;3072;14691;502;761;192;11;0;0;93;0;0;60;19;87;234;32;1064;8080
_2013_07;5;3;58;14;152;7;18974;3;5;173;719;7936;2878;873;12;242;5;64;173;85;44;536;81;122;4911;4811;17802;1616;5538;5789;790;11165;5774;21;9552;6747;23030;11122;1570;934;7711;19666;37555;3388;56;522;559;599;990;1195;7;1831;2070;1329;570;1516;14587;696;94;48;25;533;2957;2;3;3874;10700;12317;1937;420;329;2627;2814;2794;87;51;30;259;301;193;514;331;412;171;661;160;124;24;4787;3152;16563;599;982;247;16;0;0;143;0;0;70;30;114;248;78;1248;9312
_2013_06;6;4;65;8;111;8;17556;6;4;183;849;7389;2931;686;12;266;4;66;123;71;58;613;75;128;5272;4953;16811;1395;5385;5578;754;10131;5749;19;9699;5982;22243;11726;1567;1026;6670;16966;33088;3550;56;454;644;533;982;1156;3;2273;2168;1281;600;1872;14464;567;107;33;22;407;2326;2;4;3373;9850;12085;1866;428;323;2395;2644;2691;77;41;15;224;247;110;534;397;418;182;671;126;105;21;5274;3287;15361;721;989;321;14;0;0;124;0;0;67;27;119;241;49;893;8563
_2013_05;5;2;43;4;133;12;17028;4;0;189;847;7028;2675;667;15;248;5;56;124;87;53;642;68;129;4848;4610;17860;1534;5697;5982;680;9081;5792;24;10259;5747;22806;11601;1498;1039;6550;16560;29614;3268;28;381;559;536;963;1060;13;1906;2213;1336;541;1387;14637;558;87;26;18;415;2459;3;7;3418;10209;12830;1911;410;346;2334;2625;2960;90;30;21;208;249;136;550;347;404;185;563;104;77;15;4730;3357;14513;612;865;275;19;0;0;132;0;0;57;25;135;253;47;829;8577
_2013_04;4;2;48;4;103;7;16772;2;2;195;798;7142;2796;678;12;289;2;65;149;79;73;645;69;145;4646;4453;18224;1430;5758;5407;751;9763;6174;22;9710;5198;21301;11735;1495;1005;6770;15876;29464;3417;39;424;574;509;929;1144;4;2106;2435;1340;620;1550;15554;601;92;35;44;369;2511;1;6;3337;10125;12540;2224;420;404;2364;2507;2925;94;29;15;207;221;145;620;382;461;183;603;123;148;11;5035;3491;14691;605;1036;333;19;0;0;177;0;0;59;23;155;240;70;924;9126
_2013_03;9;2;63;8;93;11;16814;1;0;204;890;7199;2716;668;13;269;2;76;150;115;66;734;85;126;4520;4305;19810;1595;5676;5219;764;9213;6508;19;9707;4728;20022;11505;1526;893;6772;14737;28660;3416;50;424;542;502;983;1162;4;1892;2418;1432;596;1597;15358;672;91;49;48;323;2308;3;8;3001;9791;11752;2628;411;373;2305;2494;2988;152;25;27;189;210;168;573;361;417;203;629;136;65;18;5464;3741;14792;763;1082;276;38;0;0;138;0;0;74;31;108;277;85;697;9125
_2013_02;3;4;50;13;77;6;15694;1;2;185;877;6709;2335;624;23;329;2;64;165;113;70;667;64;147;4466;4219;20106;1322;5258;4893;756;8165;6026;37;9213;4041;18289;10336;1274;712;5951;13618;26784;3133;47;430;541;488;860;1089;2;1997;2029;1265;584;1459;14675;601;90;43;38;327;2135;1;4;2853;9614;11146;2694;416;354;2170;2339;2881;130;33;21;177;220;99;599;360;380;185;620;150;77;15;4738;3396;13893;524;973;243;21;0;0;115;0;0;57;25;108;232;59;551;8672
_2013_01;0;2;66;4;127;9;16805;7;4;216;922;6973;2189;583;13;385;0;90;208;124;87;726;71;158;4847;4674;23963;1271;5319;5097;692;8460;6032;19;10037;4493;19966;10450;1123;646;6404;14389;27702;3110;27;464;520;526;884;1119;8;1916;2122;1395;618;1364;13828;578;75;38;26;422;3498;4;7;2906;10847;12708;3545;417;391;2314;2544;2908;106;21;17;181;172;107;504;340;355;206;632;111;101;30;5268;3773;13955;595;937;272;14;0;0;147;0;0;57;26;87;250;68;528;8612
_2012_12;3;4;52;5;134;8;17401;0;0;213;907;6938;2456;678;11;435;6;84;213;112;71;694;80;135;4805;4560;26125;1388;5614;5152;660;9005;6577;27;9852;5034;21018;10032;1150;774;6525;14489;28414;3381;28;451;577;549;924;1127;4;1831;2744;1199;586;1539;13525;664;73;51;39;301;2493;2;50;2573;10012;12335;5705;412;289;2299;2429;2770;96;29;22;176;236;152;564;321;389;200;623;147;87;15;6366;3675;14184;872;1077;219;26;0;0;161;0;0;64;32;101;285;100;600;8612
_2012_11;7;5;38;8;140;12;16973;1;2;202;848;7036;2371;690;24;381;3;81;169;104;73;670;90;142;4947;4764;23704;1289;6164;5484;794;8494;6384;36;10191;5871;23347;11688;1523;852;6943;15610;28422;3494;50;439;530;567;885;1223;3;1782;2264;1439;584;1339;14196;595;90;42;30;338;2599;1;6;3024;10785;12907;6433;386;308;2358;2391;2782;120;25;27;207;257;131;540;334;409;169;642;128;129;24;5584;3504;14468;720;980;226;22;0;0;112;0;0;48;22;107;271;61;637;8828
_2012_10;6;3;51;3;154;14;18796;3;3;172;939;7514;2723;829;16;257;6;61;159;90;74;681;62;147;4961;4859;19107;1288;5859;5195;802;8732;6335;31;10269;6188;22571;11517;1577;983;7159;16577;31641;3758;39;457;667;605;1047;1348;8;2285;2615;1538;635;1591;16594;815;107;76;41;376;2789;1;6;3003;10137;13145;7817;510;349;2591;2686;3197;100;34;29;266;246;159;689;360;420;221;702;147;120;23;5934;3478;15424;752;1199;323;32;0;0;143;0;0;62;33;118;328;75;665;9685
_2012_09;13;5;71;7;123;13;16738;2;2;155;776;6617;2216;688;11;200;1;47;130;74;47;554;41;106;4604;4263;17349;1094;4757;4622;642;8129;5359;37;8725;6069;20332;9945;1359;950;6683;16199;28629;3030;36;412;473;482;795;1205;3;1740;2407;1368;467;1002;13546;719;75;34;19;413;2715;0;16;2923;9207;11803;7006;426;247;2234;2196;2704;73;43;29;209;196;154;573;307;321;134;568;117;99;11;4728;2903;12972;563;898;214;41;0;0;96;0;0;54;36;91;216;36;570;8215
_2012_08;4;1;59;9;127;9;16910;0;2;170;616;6481;2063;765;19;201;4;49;145;61;50;496;56;124;4400;4086;19201;1372;4775;4608;680;9582;5104;16;8251;6258;20923;9911;1183;965;6956;18394;32185;2830;27;451;491;528;809;1228;5;1376;2028;1118;395;922;12121;766;58;38;35;416;2808;0;3;3294;9579;11152;7538;423;296;2354;2323;2481;58;31;24;298;260;128;510;300;342;158;528;105;91;14;4878;2822;13226;433;796;240;23;0;0;92;0;0;61;32;83;225;46;558;8230
_2012_07;7;4;62;2;138;15;17629;1;4;179;692;6897;2414;754;24;218;3;41;137;71;47;499;78;140;4998;4485;17934;1522;5070;5066;697;9904;5385;27;9326;6436;22686;10466;1518;894;7003;18160;33716;3212;36;466;526;508;814;1191;3;1700;2333;1195;518;1302;13181;794;97;40;35;428;3185;0;7;3600;10462;12687;7053;414;334;2430;2563;2591;75;34;29;237;285;74;544;310;368;185;599;88;167;18;5730;3016;14559;582;943;258;23;0;0;124;0;0;65;27;90;228;78;624;8558
_2012_06;2;3;52;6;115;9;18624;3;1;192;838;7044;2627;739;28;242;5;44;157;67;39;555;59;135;5610;5112;17073;1302;5289;5315;718;9459;5634;30;9521;6815;22795;10926;1704;929;6988;17924;32101;3637;64;476;575;535;969;1313;5;2307;2126;1338;521;1481;13433;670;92;54;49;411;2578;0;3;3421;10545;13401;8158;509;359;2451;2657;2642;67;36;32;238;239;106;563;315;385;172;629;106;99;19;5826;3244;13644;831;974;254;17;0;0;147;0;0;71;30;107;239;93;566;8485
