Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp
6;ALPES MARITIMES;6;6ème circonscription;84640;27262;32.21;57378;67.79;2146;2.54;3.74;55232;65.26;96.26;COM;5393;6.37;9.76;MAJ;6512;7.69;11.79;VEC;4229;5;7.66;DIV;2079;2.46;3.76;DIV;829;0.98;1.5;RPR;23361;27.6;42.3;FRN;12028;14.21;21.78;EXD;801;0.95;1.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;7;7ème circonscription;83351;27258;32.7;56093;67.3;2475;2.97;4.41;53618;64.33;95.59;COM;2935;3.52;5.47;SOC;4925;5.91;9.19;SOC;587;0.7;1.09;MAJ;1964;2.36;3.66;MAJ;120;0.14;0.22;VEC;4283;5.14;7.99;DIV;1048;1.26;1.95;DIV;201;0.24;0.37;DIV;944;1.13;1.76;UDF;23477;28.17;43.79;FRN;13134;15.76;24.5;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;8;8ème circonscription;59901;17523;29.25;42378;70.75;1022;1.71;2.41;41356;69.04;97.59;COM;1618;2.7;3.91;SOC;2639;4.41;6.38;GEC;1690;2.82;4.09;DIV;885;1.48;2.14;DIV;701;1.17;1.7;UDF;13281;22.17;32.11;UDF;12337;20.6;29.83;DVD;257;0.43;0.62;FRN;7948;13.27;19.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;ALPES MARITIMES;9;9ème circonscription;86473;29182;33.75;57291;66.25;2190;2.53;3.82;55101;63.72;96.18;COM;3597;4.16;6.53;SOC;5014;5.8;9.1;MAJ;1410;1.63;2.56;GEC;5504;6.36;9.99;DIV;1533;1.77;2.78;RPR;24905;28.8;45.2;DVD;1896;2.19;3.44;FRN;11242;13;20.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ARDECHE;1;1ère circonscription;65458;19954;30.48;45504;69.52;2646;4.04;5.81;42858;65.47;94.19;COM;4932;7.53;11.51;SOC;9236;14.11;21.55;GEC;3040;4.64;7.09;DIV;1192;1.82;2.78;UDF;4682;7.15;10.92;UDF;15041;22.98;35.09;DVD;447;0.68;1.04;FRN;4288;6.55;10.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ARDECHE;2;2ème circonscription;78337;23376;29.84;54961;70.16;2778;3.55;5.05;52183;66.61;94.95;COM;4125;5.27;7.9;SOC;7730;9.87;14.81;VEC;5004;6.39;9.59;DIV;1350;1.72;2.59;RPR;18231;23.27;34.94;UDF;9486;12.11;18.18;DVD;520;0.66;1;FRN;5737;7.32;10.99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;ARDECHE;3;3ème circonscription;64425;19301;29.96;45124;70.04;2420;3.76;5.36;42704;66.28;94.64;EXG;1174;1.82;2.75;COM;4303;6.68;10.08;SOC;8684;13.48;20.34;MAJ;159;0.25;0.37;GEC;3181;4.94;7.45;RPR;12605;19.57;29.52;UDF;4723;7.33;11.06;UDF;2569;3.99;6.02;DVD;1007;1.56;2.36;FRN;4299;6.67;10.07;;;;;;;;;;;;;;;;;;;;;;;;
8;ARDENNES;1;1ère circonscription;71180;23040;32.37;48140;67.63;2458;3.45;5.11;45682;64.18;94.89;EXG;1016;1.43;2.22;COM;3519;4.94;7.7;SOC;10566;14.84;23.13;GEC;3242;4.55;7.1;DIV;1992;2.8;4.36;UDF;17925;25.18;39.24;DVD;903;1.27;1.98;FRN;6519;9.16;14.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;ARDENNES;2;2ème circonscription;66538;23978;36.04;42560;63.96;2033;3.06;4.78;40527;60.91;95.22;EXG;714;1.07;1.76;COM;6570;9.87;16.21;SOC;9034;13.58;22.29;VEC;2443;3.67;6.03;DIV;1427;2.14;3.52;DIV;1562;2.35;3.85;DIV;838;1.26;2.07;UDF;11236;16.89;27.72;DVD;699;1.05;1.72;FRN;6004;9.02;14.81;;;;;;;;;;;;;;;;;;;;;;;;
8;ARDENNES;3;3ème circonscription;59232;18324;30.94;40908;69.06;2075;3.5;5.07;38833;65.56;94.93;EXG;437;0.74;1.13;COM;2588;4.37;6.66;SOC;9487;16.02;24.43;GEC;2345;3.96;6.04;DIV;1238;2.09;3.19;RPR;8708;14.7;22.42;DVD;9921;16.75;25.55;FRN;4109;6.94;10.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ARIEGE;1;1ère circonscription;53437;15201;28.45;38236;71.55;2458;4.6;6.43;35778;66.95;93.57;COM;4223;7.9;11.8;SOC;14022;26.24;39.19;VEC;2566;4.8;7.17;DIV;1000;1.87;2.8;DIV;157;0.29;0.44;DVD;10759;20.13;30.07;FRN;3051;5.71;8.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;ARIEGE;2;2ème circonscription;54750;14834;27.09;39916;72.91;2248;4.11;5.63;37668;68.8;94.37;COM;4479;8.18;11.89;SOC;12325;22.51;32.72;GEC;2338;4.27;6.21;DIV;968;1.77;2.57;DVD;14385;26.27;38.19;FRN;3173;5.8;8.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AUBE;1;1ère circonscription;53946;16432;30.46;37514;69.54;2194;4.07;5.85;35320;65.47;94.15;COM;2555;4.74;7.23;SOC;5282;9.79;14.95;GEC;2484;4.6;7.03;DIV;3299;6.12;9.34;UDF;12384;22.96;35.06;DVD;2118;3.93;6;DVD;562;1.04;1.59;FRN;5521;10.23;15.63;EXD;1115;2.07;3.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AUBE;2;2ème circonscription;65944;20624;31.28;45320;68.72;2369;3.59;5.23;42951;65.13;94.77;COM;3046;4.62;7.09;SOC;7237;10.97;16.85;VEC;2617;3.97;6.09;DIV;1300;1.97;3.03;RPR;12829;19.45;29.87;DVD;6165;9.35;14.35;DVD;4416;6.7;10.28;FRN;5341;8.1;12.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;AUBE;3;3ème circonscription;69058;21944;31.78;47114;68.22;2040;2.95;4.33;45074;65.27;95.67;EXG;914;1.32;2.03;COM;4524;6.55;10.04;SOC;7268;10.52;16.12;GEC;2195;3.18;4.87;DIV;1168;1.69;2.59;DIV;925;1.34;2.05;RPR;12732;18.44;28.25;UDF;8154;11.81;18.09;FRN;6184;8.95;13.72;EXD;1010;1.46;2.24;;;;;;;;;;;;;;;;;;;;;;;;
